Student,Question,Grade
35.0,7.0,C
36.0,7.0,C
37.0,7.0,C
38.0,7.0,C
39.0,7.0,C
40.0,7.0,C
41.0,7.0,C
42.0,7.0,C
43.0,7.0,C
44.0,7.0,C
45.0,7.0,C
46.0,7.0,C
47.0,7.0,C
48.0,7.0,C
49.0,7.0,C
50.0,7.0,C
51.0,7.0,C
52.0,7.0,C
53.0,7.0,C
54.0,7.0,C
55.0,7.0,C
56.0,7.0,C
57.0,7.0,C
58.0,7.0,C
59.0,7.0,C
60.0,7.0,C
61.0,7.0,C
62.0,7.0,C
63.0,7.0,C
64.0,7.0,C
1.0,7.0,C
2.0,7.0,C
3.0,7.0,C
4.0,7.0,C
5.0,7.0,C
6.0,7.0,C
7.0,7.0,C
8.0,7.0,C
9.0,7.0,C
10.0,7.0,C
11.0,7.0,C
12.0,7.0,C
13.0,7.0,C
14.0,7.0,C
15.0,7.0,C
16.0,7.0,C
17.0,7.0,C
18.0,7.0,C
19.0,7.0,C
20.0,7.0,C
21.0,7.0,C
22.0,7.0,C
23.0,7.0,C
24.0,7.0,C
25.0,7.0,C
26.0,7.0,C
27.0,7.0,C
28.0,7.0,C
29.0,7.0,C
30.0,7.0,C
31.0,7.0,C
32.0,7.0,C
33.0,7.0,C
34.0,7.0,C
35.0,7.0,C
36.0,7.0,C
37.0,7.0,C
38.0,7.0,C
39.0,7.0,C
40.0,7.0,C
41.0,7.0,C
42.0,7.0,C
43.0,7.0,C
44.0,7.0,C
45.0,7.0,C
46.0,7.0,C
47.0,7.0,C
48.0,7.0,C
49.0,7.0,C
50.0,7.0,C
51.0,7.0,C
52.0,7.0,C
53.0,7.0,C
54.0,7.0,C
55.0,7.0,C
56.0,7.0,C
57.0,7.0,C
58.0,7.0,C
59.0,7.0,C
60.0,7.0,C
61.0,7.0,C
62.0,7.0,C
63.0,7.0,C
64.0,7.0,C
1.0,7.0,C
2.0,7.0,C
3.0,7.0,C
4.0,7.0,C
5.0,7.0,C
6.0,7.0,C
7.0,7.0,C
8.0,7.0,C
9.0,7.0,C
10.0,7.0,C
11.0,7.0,C
12.0,7.0,C
13.0,7.0,C
14.0,7.0,C
15.0,7.0,C
16.0,7.0,C
17.0,7.0,C
18.0,7.0,C
19.0,7.0,C
20.0,7.0,C
21.0,7.0,C
22.0,7.0,C
23.0,7.0,C
24.0,7.0,C
25.0,7.0,C
26.0,7.0,C
27.0,7.0,C
28.0,7.0,C
29.0,7.0,C
30.0,7.0,C
31.0,7.0,C
32.0,7.0,C
33.0,7.0,C
34.0,7.0,C
35.0,7.0,C
36.0,7.0,C
37.0,7.0,C
38.0,7.0,C
39.0,7.0,C
40.0,7.0,C
41.0,7.0,C
42.0,7.0,C
43.0,7.0,C
44.0,7.0,C
45.0,7.0,C
46.0,7.0,C
47.0,7.0,C
48.0,7.0,C
49.0,7.0,C
50.0,7.0,C
51.0,7.0,C
52.0,7.0,C
53.0,7.0,C
54.0,7.0,C
55.0,7.0,C
56.0,7.0,C
57.0,7.0,C
58.0,7.0,C
59.0,7.0,C
60.0,7.0,C
61.0,7.0,C
62.0,7.0,C
63.0,7.0,C
64.0,7.0,C
1.0,7.0,C
2.0,7.0,C
3.0,7.0,C
4.0,7.0,C
5.0,7.0,C
6.0,7.0,C
7.0,7.0,C
8.0,7.0,C
9.0,7.0,C
10.0,7.0,C
11.0,7.0,C
12.0,7.0,C
13.0,7.0,C
14.0,7.0,C
15.0,7.0,C
16.0,7.0,C
17.0,7.0,C
18.0,7.0,C
19.0,7.0,C
20.0,7.0,C
21.0,7.0,C
22.0,7.0,C
23.0,7.0,C
24.0,7.0,C
25.0,7.0,C
26.0,7.0,C
27.0,7.0,C
28.0,7.0,C
29.0,7.0,C
30.0,7.0,C
31.0,7.0,C
32.0,7.0,C
33.0,7.0,C
34.0,7.0,C
35.0,7.0,C
36.0,7.0,C
37.0,7.0,C
38.0,7.0,C
39.0,7.0,C
40.0,7.0,C
41.0,7.0,C
42.0,7.0,C
43.0,7.0,C
44.0,7.0,C
45.0,7.0,C
46.0,7.0,C
47.0,7.0,C
48.0,7.0,C
49.0,7.0,C
50.0,7.0,C
51.0,7.0,C
52.0,7.0,C
53.0,7.0,C
54.0,7.0,C
55.0,7.0,C
56.0,7.0,C
57.0,7.0,C
58.0,7.0,C
59.0,7.0,C
60.0,7.0,C
61.0,7.0,C
62.0,7.0,C
63.0,7.0,C
64.0,7.0,C
1.0,7.0,C
2.0,7.0,C
3.0,7.0,C
4.0,7.0,C
5.0,7.0,C
6.0,7.0,C
7.0,7.0,C
8.0,7.0,C
9.0,7.0,C
10.0,7.0,C
11.0,7.0,C
12.0,7.0,C
13.0,7.0,C
14.0,7.0,C
15.0,7.0,C
16.0,7.0,C
17.0,7.0,C
18.0,7.0,C
19.0,7.0,C
20.0,7.0,C
21.0,7.0,C
22.0,7.0,C
23.0,7.0,C
24.0,7.0,C
25.0,7.0,C
26.0,7.0,C
27.0,7.0,C
28.0,7.0,C
29.0,7.0,C
30.0,7.0,C
31.0,7.0,C
32.0,7.0,C
33.0,7.0,C
34.0,7.0,C
35.0,7.0,C
36.0,7.0,C
37.0,7.0,C
38.0,7.0,C
39.0,7.0,C
40.0,7.0,C
41.0,7.0,C
42.0,7.0,C
43.0,7.0,C
44.0,7.0,C
45.0,7.0,C
46.0,7.0,C
47.0,7.0,C
48.0,7.0,C
49.0,7.0,C
50.0,7.0,C
51.0,7.0,C
52.0,7.0,C
53.0,7.0,C
54.0,7.0,C
55.0,7.0,C
56.0,7.0,C
57.0,7.0,C
58.0,7.0,C
59.0,7.0,C
60.0,7.0,C
61.0,7.0,C
62.0,7.0,C
63.0,7.0,C
64.0,7.0,C
1.0,7.0,C
2.0,7.0,C
3.0,7.0,C
4.0,7.0,C
5.0,7.0,C
6.0,7.0,C
7.0,7.0,C
8.0,7.0,C
9.0,7.0,C
10.0,7.0,C
11.0,7.0,C
12.0,7.0,C
13.0,7.0,C
14.0,7.0,C
15.0,7.0,C
16.0,7.0,C
17.0,7.0,C
18.0,7.0,C
19.0,7.0,C
20.0,7.0,C
21.0,7.0,C
22.0,7.0,C
23.0,7.0,C
24.0,7.0,C
25.0,7.0,C
26.0,7.0,C
27.0,7.0,C
28.0,7.0,C
29.0,7.0,C
30.0,7.0,C
31.0,7.0,C
32.0,7.0,C
33.0,7.0,C
34.0,7.0,C
35.0,7.0,C
36.0,7.0,C
37.0,7.0,C
38.0,7.0,C
39.0,7.0,C
40.0,7.0,C
41.0,7.0,C
42.0,7.0,C
43.0,7.0,C
44.0,7.0,C
45.0,7.0,C
46.0,7.0,C
47.0,7.0,C
48.0,7.0,C
49.0,7.0,C
50.0,7.0,C
51.0,7.0,C
52.0,7.0,C
53.0,7.0,C
54.0,7.0,C
55.0,7.0,C
56.0,7.0,C
57.0,7.0,C
58.0,7.0,C
59.0,7.0,C
60.0,7.0,C
61.0,7.0,C
62.0,7.0,C
63.0,7.0,C
64.0,7.0,C
1.0,7.0,C
2.0,7.0,C
3.0,7.0,C
4.0,7.0,C
5.0,7.0,C
6.0,7.0,C
7.0,7.0,C
8.0,7.0,C
9.0,7.0,C
10.0,7.0,C
11.0,7.0,C
12.0,7.0,C
13.0,7.0,C
14.0,7.0,C
15.0,7.0,C
16.0,7.0,C
17.0,7.0,C
18.0,7.0,C
19.0,7.0,C
20.0,7.0,C
21.0,7.0,C
22.0,7.0,C
23.0,7.0,C
24.0,7.0,C
25.0,7.0,C
26.0,7.0,C
27.0,7.0,C
28.0,7.0,C
29.0,7.0,C
30.0,7.0,C
31.0,7.0,C
32.0,7.0,C
33.0,7.0,C
34.0,7.0,C
35.0,7.0,C
36.0,7.0,C
37.0,7.0,C
38.0,7.0,C
39.0,7.0,C
40.0,7.0,C
41.0,7.0,C
42.0,7.0,C
43.0,7.0,C
44.0,7.0,C
45.0,7.0,C
46.0,7.0,C
47.0,7.0,C
48.0,7.0,C
49.0,7.0,C
50.0,7.0,C
51.0,7.0,C
52.0,7.0,C
53.0,7.0,C
54.0,7.0,C
55.0,7.0,C
56.0,7.0,C
57.0,7.0,C
58.0,7.0,C
59.0,7.0,C
60.0,7.0,C
61.0,7.0,C
62.0,7.0,C
63.0,7.0,C
64.0,7.0,C
1.0,7.0,C
2.0,7.0,C
3.0,7.0,C
4.0,7.0,C
5.0,7.0,C
6.0,7.0,C
7.0,7.0,C
8.0,7.0,C
9.0,7.0,C
10.0,7.0,C
11.0,7.0,C
12.0,7.0,C
13.0,7.0,C
14.0,7.0,C
15.0,7.0,C
16.0,7.0,C
17.0,7.0,C
18.0,7.0,C
19.0,7.0,C
20.0,7.0,C
21.0,7.0,C
22.0,7.0,C
23.0,7.0,C
24.0,7.0,C
25.0,7.0,C
26.0,7.0,C
27.0,7.0,C
28.0,7.0,C
29.0,7.0,C
30.0,7.0,C
31.0,7.0,C
32.0,7.0,C
33.0,7.0,C
34.0,7.0,C
35.0,7.0,C
36.0,7.0,C
37.0,7.0,C
38.0,7.0,C
39.0,7.0,C
40.0,7.0,C
41.0,7.0,C
42.0,7.0,C
43.0,7.0,C
44.0,7.0,C
45.0,7.0,C
46.0,7.0,C
47.0,7.0,C
48.0,7.0,C
49.0,7.0,C
50.0,7.0,C
51.0,7.0,C
52.0,7.0,C
53.0,7.0,C
54.0,7.0,C
55.0,7.0,C
56.0,7.0,C
57.0,7.0,C
58.0,7.0,C
59.0,7.0,C
60.0,7.0,C
61.0,7.0,C
62.0,7.0,C
63.0,7.0,C
64.0,7.0,C
1.0,7.0,C
2.0,7.0,C
3.0,7.0,C
4.0,7.0,C
5.0,7.0,C
6.0,7.0,C
7.0,7.0,C
8.0,7.0,C
9.0,7.0,C
10.0,7.0,C
11.0,7.0,C
12.0,7.0,C
13.0,7.0,C
14.0,7.0,C
15.0,7.0,C
16.0,7.0,C
17.0,7.0,C
18.0,7.0,C
19.0,7.0,C
20.0,7.0,C
21.0,7.0,C
22.0,7.0,C
23.0,7.0,C
24.0,7.0,C
25.0,7.0,C
26.0,7.0,C
27.0,7.0,C
28.0,7.0,C
29.0,7.0,C
30.0,7.0,C
31.0,7.0,C
32.0,7.0,C
33.0,7.0,C
34.0,7.0,C
35.0,7.0,C
36.0,7.0,C
37.0,7.0,C
38.0,7.0,C
39.0,7.0,C
40.0,7.0,C
41.0,7.0,C
42.0,7.0,C
43.0,7.0,C
44.0,7.0,C
45.0,7.0,C
46.0,7.0,C
47.0,7.0,C
48.0,7.0,C
49.0,7.0,C
50.0,7.0,C
51.0,7.0,C
52.0,7.0,C
53.0,7.0,C
54.0,7.0,C
55.0,7.0,C
56.0,7.0,C
57.0,7.0,C
58.0,7.0,C
59.0,7.0,C
60.0,7.0,C
61.0,7.0,C
62.0,7.0,C
63.0,7.0,C
64.0,7.0,C
1.0,7.0,C
2.0,7.0,C
3.0,7.0,C
4.0,7.0,C
5.0,7.0,C
6.0,7.0,C
7.0,7.0,C
8.0,7.0,C
9.0,7.0,C
10.0,7.0,C
11.0,7.0,C
12.0,7.0,C
13.0,7.0,C
14.0,7.0,C
15.0,7.0,C
16.0,7.0,C
17.0,7.0,C
18.0,7.0,C
19.0,7.0,C
20.0,7.0,C
21.0,7.0,C
22.0,7.0,C
23.0,7.0,C
24.0,7.0,C
25.0,7.0,C
26.0,7.0,C
27.0,7.0,C
28.0,7.0,C
29.0,7.0,C
30.0,7.0,C
31.0,7.0,C
32.0,7.0,C
33.0,7.0,C
34.0,7.0,C
35.0,7.0,C
36.0,7.0,C
37.0,7.0,C
38.0,7.0,C
39.0,7.0,C
40.0,7.0,C
41.0,7.0,C
42.0,7.0,C
43.0,7.0,C
44.0,7.0,C
45.0,7.0,C
46.0,7.0,C
47.0,7.0,C
48.0,7.0,C
49.0,7.0,C
50.0,7.0,C
51.0,7.0,C
52.0,7.0,C
53.0,7.0,C
54.0,7.0,C
55.0,7.0,C
56.0,7.0,C
57.0,7.0,C
58.0,7.0,C
59.0,7.0,C
60.0,7.0,C
61.0,7.0,C
62.0,7.0,C
63.0,7.0,C
64.0,7.0,C
1.0,8.0,C
2.0,8.0,C
3.0,8.0,C
4.0,8.0,C
5.0,8.0,C
6.0,8.0,C
7.0,8.0,C
8.0,8.0,C
9.0,8.0,C
10.0,8.0,C
11.0,8.0,C
12.0,8.0,C
13.0,8.0,C
14.0,8.0,C
15.0,8.0,C
16.0,8.0,C
17.0,8.0,C
18.0,8.0,C
19.0,8.0,C
20.0,8.0,C
21.0,8.0,C
22.0,8.0,C
23.0,8.0,C
24.0,8.0,C
25.0,8.0,C
26.0,8.0,C
27.0,8.0,C
28.0,8.0,C
29.0,8.0,C
30.0,8.0,C
31.0,8.0,C
32.0,8.0,C
33.0,8.0,C
34.0,8.0,C
35.0,8.0,C
36.0,8.0,C
37.0,8.0,C
38.0,8.0,C
39.0,8.0,C
40.0,8.0,C
41.0,8.0,C
42.0,8.0,C
43.0,8.0,C
44.0,8.0,C
45.0,8.0,C
46.0,8.0,C
47.0,8.0,C
48.0,8.0,C
49.0,8.0,C
50.0,8.0,C
51.0,8.0,C
52.0,8.0,C
53.0,8.0,C
54.0,8.0,C
55.0,8.0,C
56.0,8.0,C
57.0,8.0,C
58.0,8.0,C
59.0,8.0,C
60.0,8.0,C
61.0,8.0,C
62.0,8.0,C
63.0,8.0,C
64.0,8.0,C
1.0,8.0,C
2.0,8.0,C
3.0,8.0,C
4.0,8.0,C
5.0,8.0,C
6.0,8.0,C
7.0,8.0,C
8.0,8.0,C
9.0,8.0,C
10.0,8.0,C
11.0,8.0,C
12.0,8.0,C
13.0,8.0,C
14.0,8.0,C
15.0,8.0,C
16.0,8.0,C
17.0,8.0,C
18.0,8.0,C
19.0,8.0,C
20.0,8.0,C
21.0,8.0,C
22.0,8.0,C
23.0,8.0,C
24.0,8.0,C
25.0,8.0,C
26.0,8.0,C
27.0,8.0,C
28.0,8.0,C
29.0,8.0,C
30.0,8.0,C
31.0,8.0,C
32.0,8.0,C
33.0,8.0,C
34.0,8.0,C
35.0,8.0,C
36.0,8.0,C
37.0,8.0,C
38.0,8.0,C
39.0,8.0,C
40.0,8.0,C
41.0,8.0,C
42.0,8.0,C
43.0,8.0,C
44.0,8.0,C
45.0,8.0,C
46.0,8.0,C
47.0,8.0,C
48.0,8.0,C
49.0,8.0,C
50.0,8.0,C
51.0,8.0,C
52.0,8.0,C
53.0,8.0,C
54.0,8.0,C
55.0,8.0,C
56.0,8.0,C
57.0,8.0,C
58.0,8.0,C
59.0,8.0,C
60.0,8.0,C
61.0,8.0,C
62.0,8.0,C
63.0,8.0,C
64.0,8.0,C
1.0,8.0,C
2.0,8.0,C
3.0,8.0,C
4.0,8.0,C
5.0,8.0,C
6.0,8.0,C
7.0,8.0,C
8.0,8.0,C
9.0,8.0,C
10.0,8.0,C
11.0,8.0,C
12.0,8.0,C
13.0,8.0,C
14.0,8.0,C
15.0,8.0,C
16.0,8.0,C
17.0,8.0,C
18.0,8.0,C
19.0,8.0,C
20.0,8.0,C
21.0,8.0,C
22.0,8.0,C
23.0,8.0,C
24.0,8.0,C
25.0,8.0,C
26.0,8.0,C
27.0,8.0,C
28.0,8.0,C
29.0,8.0,C
30.0,8.0,C
31.0,8.0,C
32.0,8.0,C
33.0,8.0,C
34.0,8.0,C
35.0,8.0,C
36.0,8.0,C
37.0,8.0,C
38.0,8.0,C
39.0,8.0,C
40.0,8.0,C
41.0,8.0,C
42.0,8.0,C
43.0,8.0,C
44.0,8.0,C
45.0,8.0,C
46.0,8.0,C
47.0,8.0,C
48.0,8.0,C
49.0,8.0,C
50.0,8.0,C
51.0,8.0,C
52.0,8.0,C
53.0,8.0,C
54.0,8.0,C
55.0,8.0,C
56.0,8.0,C
57.0,8.0,C
58.0,8.0,C
59.0,8.0,C
60.0,8.0,C
61.0,8.0,C
62.0,8.0,C
63.0,8.0,C
64.0,8.0,C
1.0,8.0,C
2.0,8.0,C
3.0,8.0,C
4.0,8.0,C
5.0,8.0,C
6.0,8.0,C
7.0,8.0,C
8.0,8.0,C
9.0,8.0,C
10.0,8.0,C
11.0,8.0,C
12.0,8.0,C
13.0,8.0,C
14.0,8.0,C
15.0,8.0,C
16.0,8.0,C
17.0,8.0,C
18.0,8.0,C
19.0,8.0,C
20.0,8.0,C
21.0,8.0,C
22.0,8.0,C
23.0,8.0,C
24.0,8.0,C
25.0,8.0,C
26.0,8.0,C
27.0,8.0,C
28.0,8.0,C
29.0,8.0,C
30.0,8.0,C
31.0,8.0,C
32.0,8.0,C
33.0,8.0,C
34.0,8.0,C
35.0,8.0,C
36.0,8.0,C
37.0,8.0,C
38.0,8.0,C
39.0,8.0,C
40.0,8.0,C
41.0,8.0,C
42.0,8.0,C
43.0,8.0,C
44.0,8.0,C
45.0,8.0,C
46.0,8.0,C
47.0,8.0,C
48.0,8.0,C
49.0,8.0,C
50.0,8.0,C
51.0,8.0,C
52.0,8.0,C
53.0,8.0,C
54.0,8.0,C
55.0,8.0,C
56.0,8.0,C
57.0,8.0,C
58.0,8.0,C
59.0,8.0,C
60.0,8.0,C
61.0,8.0,C
62.0,8.0,C
63.0,8.0,C
64.0,8.0,C
1.0,8.0,C
2.0,8.0,C
3.0,8.0,C
4.0,8.0,C
5.0,8.0,C
6.0,8.0,C
7.0,8.0,C
8.0,8.0,C
9.0,8.0,C
10.0,8.0,C
11.0,8.0,C
12.0,8.0,C
13.0,8.0,C
14.0,8.0,C
15.0,8.0,C
16.0,8.0,C
17.0,8.0,C
18.0,8.0,C
19.0,8.0,C
20.0,8.0,C
21.0,8.0,C
22.0,8.0,C
23.0,8.0,C
24.0,8.0,C
25.0,8.0,C
26.0,8.0,C
27.0,8.0,C
28.0,8.0,C
29.0,8.0,C
30.0,8.0,C
31.0,8.0,C
32.0,8.0,C
33.0,8.0,C
34.0,8.0,C
35.0,8.0,C
36.0,8.0,C
37.0,8.0,C
38.0,8.0,C
39.0,8.0,C
40.0,8.0,C
41.0,8.0,C
42.0,8.0,C
43.0,8.0,C
44.0,8.0,C
45.0,8.0,C
46.0,8.0,C
47.0,8.0,C
48.0,8.0,C
49.0,8.0,C
50.0,8.0,C
51.0,8.0,C
52.0,8.0,C
53.0,8.0,C
54.0,8.0,C
55.0,8.0,C
56.0,8.0,C
57.0,8.0,C
58.0,8.0,C
59.0,8.0,C
60.0,8.0,C
61.0,8.0,C
62.0,8.0,C
63.0,8.0,C
64.0,8.0,C
1.0,8.0,C
2.0,8.0,C
3.0,8.0,C
4.0,8.0,C
5.0,8.0,C
6.0,8.0,C
7.0,8.0,C
8.0,8.0,C
9.0,8.0,C
10.0,8.0,C
11.0,8.0,C
12.0,8.0,C
13.0,8.0,C
14.0,8.0,C
15.0,8.0,C
16.0,8.0,C
17.0,8.0,C
18.0,8.0,C
19.0,8.0,C
20.0,8.0,C
21.0,8.0,C
22.0,8.0,C
23.0,8.0,C
24.0,8.0,C
25.0,8.0,C
26.0,8.0,C
27.0,8.0,C
28.0,8.0,C
29.0,8.0,C
30.0,8.0,C
31.0,8.0,C
32.0,8.0,C
33.0,8.0,C
34.0,8.0,C
35.0,8.0,C
36.0,8.0,C
37.0,8.0,C
38.0,8.0,C
39.0,8.0,C
40.0,8.0,C
41.0,8.0,C
42.0,8.0,C
43.0,8.0,C
44.0,8.0,C
45.0,8.0,C
46.0,8.0,C
47.0,8.0,C
48.0,8.0,C
49.0,8.0,C
50.0,8.0,C
51.0,8.0,C
52.0,8.0,C
53.0,8.0,C
54.0,8.0,C
55.0,8.0,C
56.0,8.0,C
57.0,8.0,C
58.0,8.0,C
59.0,8.0,C
60.0,8.0,C
61.0,8.0,C
62.0,8.0,C
63.0,8.0,C
64.0,8.0,C
1.0,8.0,C
2.0,8.0,C
3.0,8.0,C
4.0,8.0,C
5.0,8.0,C
6.0,8.0,C
7.0,8.0,C
8.0,8.0,C
9.0,8.0,C
10.0,8.0,C
11.0,8.0,C
12.0,8.0,C
13.0,8.0,C
14.0,8.0,C
15.0,8.0,C
16.0,8.0,C
17.0,8.0,C
18.0,8.0,C
19.0,8.0,C
20.0,8.0,C
21.0,8.0,C
22.0,8.0,C
23.0,8.0,C
24.0,8.0,C
25.0,8.0,C
26.0,8.0,C
27.0,8.0,C
28.0,8.0,C
29.0,8.0,C
30.0,8.0,C
31.0,8.0,C
32.0,8.0,C
33.0,8.0,C
34.0,8.0,C
35.0,8.0,C
36.0,8.0,C
37.0,8.0,C
38.0,8.0,C
39.0,8.0,C
40.0,8.0,C
41.0,8.0,C
42.0,8.0,C
43.0,8.0,C
44.0,8.0,C
45.0,8.0,C
46.0,8.0,C
47.0,8.0,C
48.0,8.0,C
49.0,8.0,C
50.0,8.0,C
51.0,8.0,C
52.0,8.0,C
53.0,8.0,C
54.0,8.0,C
55.0,8.0,C
56.0,8.0,C
57.0,8.0,C
58.0,8.0,C
59.0,8.0,C
60.0,8.0,C
61.0,8.0,C
62.0,8.0,C
63.0,8.0,C
64.0,8.0,C
1.0,8.0,C
2.0,8.0,C
3.0,8.0,C
4.0,8.0,C
5.0,8.0,C
6.0,8.0,C
7.0,8.0,C
8.0,8.0,C
9.0,8.0,C
10.0,8.0,C
11.0,8.0,C
12.0,8.0,C
13.0,8.0,C
14.0,8.0,C
15.0,8.0,C
16.0,8.0,C
17.0,8.0,C
18.0,8.0,C
19.0,8.0,C
20.0,8.0,C
21.0,8.0,C
22.0,8.0,C
23.0,8.0,C
24.0,8.0,C
25.0,8.0,C
26.0,8.0,C
27.0,8.0,C
28.0,8.0,C
29.0,8.0,C
30.0,8.0,C
31.0,8.0,C
32.0,8.0,C
33.0,8.0,C
34.0,8.0,C
35.0,8.0,C
36.0,8.0,C
37.0,8.0,C
38.0,8.0,C
39.0,8.0,C
40.0,8.0,C
41.0,8.0,C
42.0,8.0,C
43.0,8.0,C
44.0,8.0,C
45.0,8.0,C
46.0,8.0,C
47.0,8.0,C
48.0,8.0,C
49.0,8.0,C
50.0,8.0,C
51.0,8.0,C
52.0,8.0,C
53.0,8.0,C
54.0,8.0,C
55.0,8.0,C
56.0,8.0,C
57.0,8.0,C
58.0,8.0,C
59.0,8.0,C
60.0,8.0,C
61.0,8.0,C
62.0,8.0,C
63.0,8.0,C
64.0,8.0,C
1.0,8.0,C
2.0,8.0,C
3.0,8.0,C
4.0,8.0,C
5.0,8.0,C
6.0,8.0,C
7.0,8.0,C
8.0,8.0,C
9.0,8.0,C
10.0,8.0,C
11.0,8.0,C
12.0,8.0,C
13.0,8.0,C
14.0,8.0,C
15.0,8.0,C
16.0,8.0,C
17.0,8.0,C
18.0,8.0,C
19.0,8.0,C
20.0,8.0,C
21.0,8.0,C
22.0,8.0,C
23.0,8.0,C
24.0,8.0,C
25.0,8.0,C
26.0,8.0,C
27.0,8.0,C
28.0,8.0,C
29.0,8.0,C
30.0,8.0,C
31.0,8.0,C
32.0,8.0,C
33.0,8.0,C
34.0,8.0,C
35.0,8.0,C
36.0,8.0,C
37.0,8.0,C
38.0,8.0,C
39.0,8.0,C
40.0,8.0,C
41.0,8.0,C
42.0,8.0,C
43.0,8.0,C
44.0,8.0,C
45.0,8.0,C
46.0,8.0,C
47.0,8.0,C
48.0,8.0,C
49.0,8.0,C
50.0,8.0,C
51.0,8.0,C
52.0,8.0,C
53.0,8.0,C
54.0,8.0,C
55.0,8.0,C
56.0,8.0,C
57.0,8.0,C
58.0,8.0,C
59.0,8.0,C
60.0,8.0,C
61.0,8.0,C
62.0,8.0,C
63.0,8.0,C
64.0,8.0,C
1.0,8.0,C
2.0,8.0,C
3.0,8.0,C
4.0,8.0,C
5.0,8.0,C
6.0,8.0,C
7.0,8.0,C
8.0,8.0,C
9.0,8.0,C
10.0,8.0,C
11.0,8.0,C
12.0,8.0,C
13.0,8.0,C
14.0,8.0,C
15.0,8.0,C
16.0,8.0,C
17.0,8.0,C
18.0,8.0,C
19.0,8.0,C
20.0,8.0,C
21.0,8.0,C
22.0,8.0,C
23.0,8.0,C
24.0,8.0,C
25.0,8.0,C
26.0,8.0,C
27.0,8.0,C
28.0,8.0,C
29.0,8.0,C
30.0,8.0,C
31.0,8.0,C
32.0,8.0,C
33.0,8.0,C
34.0,8.0,C
35.0,8.0,C
36.0,8.0,C
37.0,8.0,C
38.0,8.0,C
39.0,8.0,C
40.0,8.0,C
41.0,8.0,C
42.0,8.0,C
43.0,8.0,C
44.0,8.0,C
45.0,8.0,C
46.0,8.0,C
47.0,8.0,C
48.0,8.0,C
49.0,8.0,C
50.0,8.0,C
51.0,8.0,C
52.0,8.0,C
53.0,8.0,C
54.0,8.0,C
55.0,8.0,C
56.0,8.0,C
57.0,8.0,C
58.0,8.0,C
59.0,8.0,C
60.0,8.0,C
61.0,8.0,C
62.0,8.0,C
63.0,8.0,C
64.0,8.0,C
1.0,9.0,C
2.0,9.0,C
3.0,9.0,C
4.0,9.0,C
5.0,9.0,C
6.0,9.0,C
7.0,9.0,C
8.0,9.0,C
9.0,9.0,C
10.0,9.0,C
11.0,9.0,C
12.0,9.0,C
13.0,9.0,C
14.0,9.0,C
15.0,9.0,C
16.0,9.0,C
17.0,9.0,C
18.0,9.0,C
19.0,9.0,C
20.0,9.0,C
21.0,9.0,C
22.0,9.0,C
23.0,9.0,C
24.0,9.0,C
25.0,9.0,C
26.0,9.0,C
27.0,9.0,C
28.0,9.0,C
29.0,9.0,C
30.0,9.0,C
31.0,9.0,C
32.0,9.0,C
33.0,9.0,C
34.0,9.0,C
35.0,9.0,C
36.0,9.0,C
37.0,9.0,C
38.0,9.0,C
39.0,9.0,C
40.0,9.0,C
41.0,9.0,C
42.0,9.0,C
43.0,9.0,C
44.0,9.0,C
45.0,9.0,C
46.0,9.0,C
